OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME,ARR_TIME
AA,1020,DTW,MIA,555,851
AA,1021,LAX,ORD,458,1130
AA,1022,PHL,PVD,1050,1156
AA,1022,PVD,PHL,1253,1407
AA,1023,LGA,CLT,823,1026
AA,1024,DFW,BFL,2042,2146
AA,1025,TUS,DFW,715,1125
AA,1029,DFW,CLT,1703,2058
AA,1031,MIA,CLT,1740,1952
AA,1032,JFK,MIA,654,950
AA,1033,ORD,BOS,1838,2200
AA,1036,LGA,CLT,605,756
AA,1037,SBA,PHX,617,747
AA,1038,ORD,CLT,510,820
AA,1039,ORD,CLT,1700,1958
AA,1040,SDF,DFW,628,735
AA,1041,CLT,LEX,2043,2148
AA,1042,DFW,MIA,456,837
AA,1043,CLT,CLE,2036,2224
AA,1044,DFW,BNA,1826,2013
AA,1045,AVP,CLT,605,740
AA,1046,ATL,MIA,1114,1302
AA,1046,MIA,ATL,825,1020
AA,1047,IND,MIA,556,832
AA,1048,CLT,ORD,2048,2142
AA,1049,TYS,DFW,533,708
AA,1050,ALB,CLT,558,818
AA,1051,ATL,DFW,1828,1954
AA,1051,DFW,ATL,1425,1721
AA,1052,DFW,TYS,2048,2346
AA,1054,MIA,BOS,2057,8
AA,1055,DFW,SAN,1049,1151
AA,1055,MSY,DFW,657,830
AA,1056,DFW,ABQ,2136,2221
AA,1056,LGA,DFW,1449,1719
AA,1057,BOS,PHX,1323,1539
AA,1058,LGA,CLT,722,919
AA,1059,CLT,LGA,1628,1806
AA,1059,LGA,CLT,1917,2115
AA,1060,CLT,LGA,1851,2028
AA,1061,DFW,JAX,654,1029
AA,1061,JAX,DFW,1159,1336
AA,1062,CLT,BDL,2246,36
AA,1063,PHL,DEN,1926,2135
AA,1064,CLT,LGA,1303,1445
AA,1065,CLT,LGA,1929,2110
AA,1067,DEN,DFW,557,909
AA,1069,DFW,TPA,1031,1359
AA,1069,TPA,DFW,1538,1724
AA,1070,CLT,LGA,2139,2330
AA,1071,SEA,ORD,455,1048
AA,1072,ORF,CLT,511,624
AA,1073,CLT,AVP,2247,27
AA,1074,MIA,BOS,1912,2211
AA,1075,ORD,MCO,1934,2309
AA,1076,CLT,ORD,1831,1945
AA,1077,BDL,DFW,558,858
AA,1078,CLT,ALB,2057,2254
AA,1079,CLT,DFW,1804,1949
AA,1081,CLT,IND,35,150
AA,1082,DFW,CLT,1214,1553
AA,1083,AUS,PHX,1222,1309
AA,1084,CLT,LGA,1434,1610
AA,1084,LGA,CLT,1701,1903
AA,1086,ORD,CLT,1030,1320
AA,1087,PHL,PWM,1341,1459
AA,1087,PWM,PHL,1538,1716
AA,1088,RDU,MIA,754,956
AA,1089,CLT,DFW,2057,2230
AA,1090,TUL,DFW,658,810
AA,1091,DFW,CLT,456,826
AA,1092,CLT,MIA,1819,2014
AA,1093,PHX,CLT,916,1623
AA,1094,CLT,RSW,1056,1255
AA,1094,RSW,CLT,1342,1535
AA,1095,JFK,MIA,1746,2040
AA,1096,MIA,CLT,1404,1612
AA,1098,MCI,DFW,515,649
AA,1100,BNA,DFW,1634,1830
AA,1100,DFW,BNA,1344,1542
AA,1101,ORD,TPA,1317,1659
AA,1101,TPA,ORD,1743,1939
AA,1103,BNA,DFW,941,1134
AA,1103,DFW,BNA,652,835
AA,1105,DFW,LIT,2302,5
AA,1108,DTW,DFW,456,648
AA,1109,ORD,DFW,1146,1357
AA,1112,PHX,DFW,600,1035
AA,1113,MIA,EWR,1943,2239
AA,1114,CLT,MIA,1436,1636
AA,1115,CLT,MIA,1315,1519
AA,1118,BNA,DFW,1128,1328
AA,1118,DFW,BNA,828,1032
AA,1119,DFW,CLT,1541,1915
AA,1120,DFW,CLT,648,1026
AA,1121,PHL,CLT,627,811
AA,1131,ORD,MCI,1631,1752
AA,1132,MCI,ORD,1825,1958
AA,1133,DFW,RIC,1944,2325
AA,1134,DFW,DCA,1214,1604
AA,1135,DCA,DFW,1713,1914
AA,1139,BNA,MIA,527,843
AA,1140,LAX,ORD,2342,522
AA,1146,CLT,DCA,1539,1649
AA,1147,MIA,PHX,2059,2252
AA,1147,PHX,MIA,1243,1950
AA,1149,DCA,PWM,1003,1139
AA,1149,PWM,DCA,1228,1409
AA,115,DFW,HNL,926,1243
AA,1150,CLT,LGA,938,1118
AA,1150,LGA,CLT,1205,1401
AA,1151,ATL,MIA,520,706
AA,1155,DCA,CLT,827,1013
AA,1156,MCO,DCA,2039,2228
AA,1158,PHX,CLT,623,1319
AA,1159,DFW,PHX,2123,2146
AA,116,OGG,DFW,1750,519
AA,1160,CLT,PHL,2315,59
AA,1161,RDU,DFW,458,702
AA,1162,DFW,ONT,2255,4
AA,1163,BOS,DFW,1638,1934
AA,1163,DFW,BOS,1114,1543
AA,1164,CLT,LGA,1215,1346
AA,1164,LGA,CLT,1455,1712
AA,1165,ORD,GRR,2055,2240
AA,1166,OKC,DFW,513,608
AA,1167,CLT,PHX,1307,1402
AA,1168,IAH,ORD,1720,2006
AA,1168,ORD,IAH,1343,1632
AA,117,JFK,LAX,1923,2213
AA,1170,COS,DFW,1700,1956
AA,1170,DFW,COS,1511,1602
AA,1171,MIA,LGA,1944,2227
AA,1172,MIA,SJU,1945,2214
AA,1173,PHX,DFW,1619,2035
AA,1175,DFW,SFO,1725,1915
AA,1176,CLT,RSW,1653,1842
AA,1176,RSW,CLT,1930,2202
AA,1177,DCA,DFW,1314,1520
AA,1177,DFW,DCA,812,1210
AA,1178,DCA,MIA,527,750
AA,1179,ORD,SNA,1715,1929
AA,118,LAX,JFK,647,1458
AA,1183,BWI,MIA,556,825
AA,1184,CHS,CLT,452,542
AA,1185,LAX,SFO,1723,1843
AA,1185,SFO,LAX,1916,2109
AA,1186,DFW,AUS,1148,1245
AA,1187,DCA,ORD,1439,1543
AA,1188,DCA,ORD,1820,1946
AA,1189,TPA,DFW,719,904
AA,119,DFW,OGG,1058,1330
AA,1193,DFW,SFO,2136,2346
AA,1194,DCA,CLT,1955,2128
AA,1195,MIA,RDU,1634,1828
AA,1195,RDU,MIA,2033,2234
AA,1196,EWR,MIA,516,811
AA,1197,PIT,MIA,553,829
AA,1198,MIA,RDU,900,1053
AA,1198,RDU,MIA,1147,1347
AA,1199,MIA,JFK,915,1201
AA,1200,MIA,PIT,2109,2358
AA,1201,DFW,VPS,2106,2302
AA,1202,DCA,DFW,1908,2117
AA,1203,BUF,CLT,1012,1212
AA,1203,CLT,BUF,732,916
AA,1204,ORD,PIT,1147,1402
AA,1205,DFW,AUS,2256,2343
AA,1206,JFK,AUS,856,1202
AA,1207,DFW,TUS,1856,1905
AA,1208,BUR,DFW,1222,1728
AA,1208,DFW,BUR,1002,1121
AA,1209,SAN,PHX,845,959
AA,1212,DCA,CLT,636,828
AA,1213,BWI,DFW,1938,2151
AA,1213,DFW,BWI,1451,1849
AA,1214,SLC,DFW,656,1028
AA,1216,CLT,EWR,1315,1505
AA,1216,EWR,CLT,1612,1757
AA,1217,DFW,DEN,1905,2021
AA,1218,DCA,PHX,1021,1206
AA,1218,PHX,SAN,1403,1526
AA,1219,MIA,DFW,2203,7
AA,122,DFW,PIT,1715,2105
AA,1220,PBI,DFW,634,833
AA,1221,MEM,DFW,512,636
AA,1222,MIA,IND,2104,2347
AA,1223,DCA,LGA,1545,1700
AA,1224,PHX,ATL,1600,2235
AA,1225,ATL,LAX,1654,1834
AA,1226,MIA,DFW,512,726
AA,1227,DTW,CLT,811,1027
AA,1228,DFW,CLE,1757,2139
AA,1229,CLE,DFW,621,806
AA,123,DFW,HNL,1113,1414
AA,1230,ATL,PHX,743,856
AA,1231,CLT,SDF,2108,2243
AA,1232,DCA,DFW,1024,1259
AA,1233,DCA,MIA,1731,2018
AA,1234,DFW,MKE,2059,2346
